"","Country.Name","Country.Code","Region","IncomeGroup","year","numberRefs","popn","gdp"
"1054","Europe & Central Asia (all income levels)","ECS","","","1994",3080064,854511382,11995.4217221506
"1055","Ecuador","ECU","Latin America & Caribbean","Upper middle income","1994",244,11196476,5514.17944611333
"1056","Egypt, Arab Rep.","EGY","Middle East & North Africa","Lower middle income","1994",7223,61272847,4465.10599564529
"1057","Euro area","EMU","","","1994",1798725,316105840,19362.3590985663
"1058","Eritrea","ERI","Sub-Saharan Africa","Low income","1994",706,3147871,1081.12372373396
"1059","Spain","ESP","Europe & Central Asia","High income: OECD","1994",5361,39294967,15687.3004901152
"1060","Estonia","EST","Europe & Central Asia","High income: OECD","1994",NA,1462514,NA
"1061","Ethiopia","ETH","Sub-Saharan Africa","Low income","1994",348074,55366517,400.42560139507
"1062","European Union","EUU","","","1994",2324549,483001906,17124.9209899779
"1063","Fragile and conflict affected situations","FCS","","","1994",5390446,289632847,1636.92652137483
"1064","Finland","FIN","Europe & Central Asia","High income: OECD","1994",9511,5088333,18196.9904511362
"1065","Fiji","FJI","East Asia & Pacific","Upper middle income","1994",NA,765666,4700.3521284619
"1066","France","FRA","Europe & Central Asia","High income: OECD","1994",195288,59327194,19921.1267515082
"1067","Faroe Islands","FRO","Europe & Central Asia","High income: nonOECD","1994",NA,44600,NA
"1068","Micronesia, Fed. Sts.","FSM","East Asia & Pacific","Lower middle income","1994",NA,106057,2154.18007427484
"1069","Gabon","GAB","Sub-Saharan Africa","Upper middle income","1994",597,1058625,13663.9903612158
"1070","United Kingdom","GBR","Europe & Central Asia","High income: OECD","1994",85160,57865745,20196.4694229975
"1071","Georgia","GEO","Europe & Central Asia","Lower middle income","1994",NA,4861600,1557.77210303903
"1072","Ghana","GHA","Sub-Saharan Africa","Lower middle income","1994",113666,16339344,1453.92648529924
"1073","Guinea","GIN","Sub-Saharan Africa","Low income","1994",553244,7536389,744.686412341467
"1074","Gambia, The","GMB","Sub-Saharan Africa","Low income","1994",2206,1036627,1053.73489439815
"1075","Guinea-Bissau","GNB","Sub-Saharan Africa","Low income","1994",23909,1155111,1101.65501512089
"1076","Equatorial Guinea","GNQ","Sub-Saharan Africa","High income: nonOECD","1994",NA,433197,1135.08571685231
"1077","Greece","GRC","Europe & Central Asia","High income: OECD","1994",7784,10512922,14799.0759402376
"1078","Grenada","GRD","Latin America & Caribbean","Upper middle income","1994",NA,99403,5286.30879733665
"1079","Greenland","GRL","Europe & Central Asia","High income: nonOECD","1994",NA,55500,NA
"1080","Guatemala","GTM","Latin America & Caribbean","Lower middle income","1994",4672,10106463,3923.52611591828
"1081","Guam","GUM","East Asia & Pacific","High income: nonOECD","1994",NA,142806,NA
"1082","Guyana","GUY","Latin America & Caribbean","Lower middle income","1994",NA,723230,2795.26960443297
"1083","High income","HIC","","","1994",3391685,1236488860,18840.0453789267
"1084","Hong Kong SAR, China","HKG","East Asia & Pacific","High income: nonOECD","1994",1700,6035400,23026.0067319187
"1085","Honduras","HND","Latin America & Caribbean","Lower middle income","1994",104,5455481,2352.67992422915
"1086","Heavily indebted poor countries (HIPC)","HPC","","","1994",6144296,400825087,947.191921012615
"1087","Croatia","HRV","Europe & Central Asia","High income: nonOECD","1994",183600,4650000,NA
"1088","Haiti","HTI","Latin America & Caribbean","Low income","1994",NA,7674911,NA
"1089","Hungary","HUN","Europe & Central Asia","High income: OECD","1994",2906,10343355,8781.67273646182
"1090","Indonesia","IDN","East Asia & Pacific","Lower middle income","1994",97,193939912,4029.94208985711
"1091","Isle of Man","IMN","Europe & Central Asia","High income: nonOECD","1994",NA,71726,NA
"1092","India","IND","South Asia","Lower middle income","1994",258341,942604211,1393.00244341729
"1093","Not classified","INX",NA,NA,"1994",NA,NA,NA
"1094","Ireland","IRL","Europe & Central Asia","High income: OECD","1994",400,3590386,16559.3960416086
"1095","Iran, Islamic Rep.","IRN","Middle East & North Africa","Upper middle income","1994",2236350,59501292,7735.27183954467
"1096","Iraq","IRQ","Middle East & North Africa","Upper middle income","1994",119581,19606895,4729.19933433811
"1097","Iceland","ISL","Europe & Central Asia","High income: OECD","1994",160,266021,23360.0192616922
"1098","Israel","ISR","Middle East & North Africa","High income: OECD","1994",NA,5399000,16110.8394284733
"1099","Italy","ITA","Europe & Central Asia","High income: OECD","1994",73060,56843400,20899.8799976921
"1100","Jamaica","JAM","Latin America & Caribbean","Upper middle income","1994",41,2460002,6077.36560914496
"1101","Jordan","JOR","Middle East & North Africa","Upper middle income","1994",1216957,4061000,5222.60782865514
"1102","Japan","JPN","East Asia & Pacific","High income: OECD","1994",5942,124961000,22109.6812192212
"1103","Kazakhstan","KAZ","Europe & Central Asia","Upper middle income","1994",5030,16095199,6175.97717845931
"1104","Kenya","KEN","Sub-Saharan Africa","Lower middle income","1994",252423,26608089,1549.73175870047
"1105","Kyrgyz Republic","KGZ","Europe & Central Asia","Lower middle income","1994",21239,4515100,1293.8843508455
"1106","Cambodia","KHM","East Asia & Pacific","Low income","1994",10,10355253,761.349308496007
"1107","Kiribati","KIR","East Asia & Pacific","Lower middle income","1994",NA,76674,1030.47839882184
"1108","St. Kitts and Nevis","KNA","Latin America & Caribbean","High income: nonOECD","1994",NA,42363,11351.895038016
"1109","Korea, Rep.","KOR","East Asia & Pacific","High income: OECD","1994",NA,44641540,12088.2244347445
"1110","Kosovo","KSV","Europe & Central Asia","Lower middle income","1994",NA,1997000,NA
"1111","Kuwait","KWT","Middle East & North Africa","High income: nonOECD","1994",30020,NA,NA
"1112","Latin America & Caribbean (developing only)","LAC","","","1994",94638,398881480,6819.68948146612
"1113","Lao PDR","LAO","East Asia & Pacific","Lower middle income","1994",NA,4742685,1307.84581639101
"1114","Lebanon","LBN","Middle East & North Africa","Upper middle income","1994",338700,2974647,8377.19664253338
"1115","Liberia","LBR","Sub-Saharan Africa","Low income","1994",120163,2019148,NA
"1116","Libya","LBY","Middle East & North Africa","Upper middle income","1994",1999,4785488,NA
"1117","St. Lucia","LCA","Latin America & Caribbean","Upper middle income","1994",NA,145262,6222.79428744893
"1118","Latin America & Caribbean (all income levels)","LCN","","","1994",109046,478310786,7389.68058035859
"1119","Least developed countries: UN classification","LDC","","","1994",5941773,569720374,884.846095085981
"1120","Low income","LIC","","","1994",4711765,362123035,713.877598523724
"1121","Liechtenstein","LIE","Europe & Central Asia","High income: nonOECD","1994",NA,30365,NA
"1122","Sri Lanka","LKA","South Asia","Lower middle income","1994",13,17891000,3080.64588737867
"1123","Lower middle income","LMC","","","1994",5203859,2062007453,2001.28763947644
"1124","Low & middle income","LMY","","","1994",14933911,4384487699,2602.49834557197
"1125","Lesotho","LSO","Sub-Saharan Africa","Lower middle income","1994",58,1725118,1043.46519361655
"1126","Lithuania","LTU","Europe & Central Asia","High income: nonOECD","1994",NA,3657144,NA
"1127","Luxembourg","LUX","Europe & Central Asia","High income: OECD","1994",300,402925,40207.3939057679
"1128","Latvia","LVA","Europe & Central Asia","High income: nonOECD","1994",NA,2520742,NA
"1129","Macao SAR, China","MAC","East Asia & Pacific","High income: nonOECD","1994",9,391783,31266.6222735296
"1130","St. Martin (French part)","MAF","Latin America & Caribbean","High income: nonOECD","1994",NA,33098,NA
"1131","Morocco","MAR","Middle East & North Africa","Lower middle income","1994",336,26747660,3018.24263474499
"1132","Monaco","MCO","Europe & Central Asia","High income: nonOECD","1994",NA,30423,NA
"1133","Moldova","MDA","Europe & Central Asia","Lower middle income","1994",NA,3691000,1872.56885683361
"1134","Madagascar","MDG","Sub-Saharan Africa","Low income","1994",73,13039754,1015.7602815826
"1135","Maldives","MDV","South Asia","Upper middle income","1994",NA,245000,NA
"1136","Middle East & North Africa (all income levels)","MEA","","","1994",5779933,277250339,8175.50781756194
"1137","Mexico","MEX","Latin America & Caribbean","Upper middle income","1994",47363,92663664,8853.9809826187
"1138","Marshall Islands","MHL","East Asia & Pacific","Upper middle income","1994",NA,50577,2428.29992878046
"1139","Middle income","MIC","","","1994",10222146,4022364664,2774.3957803179
"1140","Macedonia, FYR","MKD","Europe & Central Asia","Upper middle income","1994",14891,1956165,4777.36443913929
"1141","Mali","MLI","Sub-Saharan Africa","Low income","1994",15800,9383608,819.088839909417
"1142","Malta","MLT","Middle East & North Africa","High income: nonOECD","1994",429,367941,14270.7607252884
"1143","Myanmar","MMR","East Asia & Pacific","Lower middle income","1994",NA,44164109,NA
"1144","Middle East & North Africa (developing only)","MNA","","","1994",5731138,247687836,5440.30227455769
"1145","Montenegro","MNE","Europe & Central Asia","Upper middle income","1994",NA,611389,NA
"1146","Mongolia","MNG","East Asia & Pacific","Upper middle income","1994",NA,2280495,2871.20508795799
"1147","Northern Mariana Islands","MNP","East Asia & Pacific","High income: nonOECD","1994",NA,54817,NA
"1148","Mozambique","MOZ","Sub-Saharan Africa","Low income","1994",322,15363065,267.598162033062
"1149","Mauritania","MRT","Sub-Saharan Africa","Lower middle income","1994",82229,2266745,1900.50459910944
"1150","Mauritius","MUS","Sub-Saharan Africa","Upper middle income","1994",NA,1112846,6259.50487545214
"1151","Malawi","MWI","Sub-Saharan Africa","Low income","1994",90242,9725612,371.869182204611
"1152","Malaysia","MYS","East Asia & Pacific","Upper middle income","1994",5308,20205992,9630.90906535243
"1153","North America","NAC","","","1994",817614,292297226,27237.8806566374
"1154","Namibia","NAM","Sub-Saharan Africa","Upper middle income","1994",1144,1605828,4177.35956082383
"1155","New Caledonia","NCL","East Asia & Pacific","High income: nonOECD","1994",NA,189482,NA
"1156","Niger","NER","Sub-Saharan Africa","Low income","1994",15070,9039088,572.432382527244
"1157","Nigeria","NGA","Sub-Saharan Africa","Lower middle income","1994",6026,105753088,2012.24519944242
"1158","Nicaragua","NIC","Latin America & Caribbean","Lower middle income","1994",314,4520727,2039.31550208398
"1159","Netherlands","NLD","Europe & Central Asia","High income: OECD","1994",62163,15382838,21922.5795807666
"1160","High income: nonOECD","NOC","","","1994",248373,282394875,11112.1262588127
"1161","Norway","NOR","Europe & Central Asia","High income: OECD","1994",44617,4336613,22760.0627826159
"1162","Nepal","NPL","South Asia","Low income","1994",123271,20859421,957.044911148908
"1163","New Zealand","NZL","East Asia & Pacific","High income: OECD","1994",3668,3620000,17094.7906524332
"1164","High income: OECD","OEC","","","1994",3143312,954093985,21165.2199060031
"1165","OECD members","OED","","","1994",3215602,1104366418,19290.3351853291
"1166","Oman","OMN","Middle East & North Africa","High income: nonOECD","1994",NA,2139539,26847.8667652375
"1167","Other small states","OSS","","","1994",62466,14513426,3794.51992751853
"1168","Pakistan","PAK","South Asia","Lower middle income","1994",1055435,119564925,2347.14138315871
"1169","Panama","PAN","Latin America & Caribbean","Upper middle income","1994",972,2682720,6344.24279744707
"1170","Peru","PER","Latin America & Caribbean","Upper middle income","1994",659,23619358,4176.85264348321
"1171","Philippines","PHL","East Asia & Pacific","Lower middle income","1994",669,68240134,2764.78131594527
"1172","Palau","PLW","East Asia & Pacific","Upper middle income","1994",NA,16805,9200.2375474577
"1173","Papua New Guinea","PNG","East Asia & Pacific","Lower middle income","1994",8461,4596131,1621.32066452752
"1174","Poland","POL","Europe & Central Asia","High income: OECD","1994",393,38542652,6820.94108099362
"1175","Puerto Rico","PRI","Latin America & Caribbean","High income: nonOECD","1994",NA,3649237,19828.9849005118
"1176","Korea, Dem. People’s Rep.","PRK","East Asia & Pacific","Low income","1994",NA,21478544,NA
"1177","Portugal","PRT","Europe & Central Asia","High income: OECD","1994",248,9991525,12886.132419701
"1178","Paraguay","PRY","Latin America & Caribbean","Upper middle income","1994",60,4651222,4543.12315311668
"1179","Pacific island small states","PSS","","","1994",NA,1802890,3192.71431260007
"1180","French Polynesia","PYF","East Asia & Pacific","High income: nonOECD","1994",NA,211584,NA
"1181","Qatar","QAT","Middle East & North Africa","High income: nonOECD","1994",NA,495179,NA
"1182","Romania","ROU","Europe & Central Asia","Upper middle income","1994",1170,22730211,4903.60342780601
"1183","Russian Federation","RUS","Europe & Central Asia","High income: nonOECD","1994",NA,148336000,5736.16013800137
"1184","Rwanda","RWA","Sub-Saharan Africa","Low income","1994",6000,5995987,346.975025347733
"1185","South Asia","SAS","","","1994",1572419,1233459616,1457.47676730537
"1186","Saudi Arabia","SAU","Middle East & North Africa","High income: nonOECD","1994",17965,18373412,25836.7298058858
"1187","Sudan","SDN","Sub-Saharan Africa","Lower middle income","1994",727174,23805536,1336.07784847458
"1188","Senegal","SEN","Sub-Saharan Africa","Lower middle income","1994",72994,8475136,1240.99395788435
"1189","Singapore","SGP","East Asia & Pacific","High income: nonOECD","1994",12,3419048,30875.009105303
"1190","Solomon Islands","SLB","East Asia & Pacific","Lower middle income","1994",NA,349250,1550.42843323256
"1191","Sierra Leone","SLE","Sub-Saharan Africa","Low income","1994",15874,3858559,824.516053449014
"1192","El Salvador","SLV","Latin America & Caribbean","Lower middle income","1994",156,5528012,3900.67894242254
"1193","San Marino","SMR","Europe & Central Asia","High income: nonOECD","1994",NA,25519,NA
"1194","Somalia","SOM","Sub-Saharan Africa","Low income","1994",388,6278911,NA
"1195","Serbia","SRB","Europe & Central Asia","Upper middle income","1994",NA,7734639,NA
"1196","Sub-Saharan Africa (developing only)","SSA","","","1994",6490186,567721234,1634.69577550082
"1197","South Sudan","SSD","Sub-Saharan Africa","Low income","1994",NA,5425099,NA
"1198","Sub-Saharan Africa (all income levels)","SSF","","","1994",6490186,568228356,1635.17147626031
"1199","Small states","SST","","","1994",71403,22462819,4585.54919466118
"1200","Sao Tome and Principe","STP","Sub-Saharan Africa","Lower middle income","1994",NA,123318,NA
"1201","Suriname","SUR","Latin America & Caribbean","Upper middle income","1994",39,438280,6916.26309198202
"1202","Slovak Republic","SVK","Europe & Central Asia","High income: OECD","1994",159,5346331,7861.50656384152
"1203","Slovenia","SVN","Europe & Central Asia","High income: OECD","1994",29156,1989443,NA
"1204","Sweden","SWE","Europe & Central Asia","High income: OECD","1994",200791,8780745,21537.274029496
"1205","Swaziland","SWZ","Sub-Saharan Africa","Lower middle income","1994",643,944223,4570.86064895641
"1206","Sint Maarten (Dutch part)","SXM","Latin America & Caribbean","High income: nonOECD","1994",NA,NA,NA
"1207","Seychelles","SYC","Sub-Saharan Africa","High income: nonOECD","1994",NA,73925,11075.0909079259
"1208","Syrian Arab Republic","SYR","Middle East & North Africa","Lower middle income","1994",366283,13941025,NA
"1209","Turks and Caicos Islands","TCA","Latin America & Caribbean","High income: nonOECD","1994",NA,14597,NA
"1210","Chad","TCD","Sub-Saharan Africa","Low income","1994",109,6773104,759.025259072323
"1211","Togo","TGO","Sub-Saharan Africa","Low income","1994",12370,4180689,813.033386966623
"1212","Thailand","THA","East Asia & Pacific","Upper middle income","1994",100817,58722767,6278.16854676515
"1213","Tajikistan","TJK","Europe & Central Asia","Lower middle income","1994",695,5702611,1046.6521234466
"1214","Turkmenistan","TKM","Europe & Central Asia","Upper middle income","1994",15400,4095512,3638.19747001051
"1215","Timor-Leste","TLS","East Asia & Pacific","Lower middle income","1994",NA,842752,NA
"1216","Tonga","TON","East Asia & Pacific","Upper middle income","1994",NA,95678,2947.26071973126
"1217","Trinidad and Tobago","TTO","Latin America & Caribbean","High income: nonOECD","1994",NA,1250316,8725.00845634898
"1218","Tunisia","TUN","Middle East & North Africa","Upper middle income","1994",19,8785700,4444.67660973019
"1219","Turkey","TUR","Europe & Central Asia","Upper middle income","1994",24927,57608769,5023.56583690007
"1220","Tuvalu","TUV","East Asia & Pacific","Upper middle income","1994",NA,9188,2027.70316364972
"1221","Tanzania","TZA","Sub-Saharan Africa","Low income","1994",883250,29030288,973.677877595954
"1222","Uganda","UGA","Sub-Saharan Africa","Low income","1994",286500,19791266,610.447303242552
"1223","Ukraine","UKR","Europe & Central Asia","Lower middle income","1994",5193,51921041,4093.79304806217
"1224","Upper middle income","UMC","","","1994",5018287,1960357211,3597.29393049628
"1225","Uruguay","URY","Latin America & Caribbean","High income: nonOECD","1994",113,3201604,8402.48335505321
"1226","United States","USA","North America","High income: OECD","1994",631051,263126000,27776.635528226
"1227","Uzbekistan","UZB","Europe & Central Asia","Lower middle income","1994",8001,22377000,1624.12074995137
"1228","St. Vincent and the Grenadines","VCT","Latin America & Caribbean","Upper middle income","1994",NA,108129,4386.26250603501
"1229","Venezuela, RB","VEN","Latin America & Caribbean","High income: nonOECD","1994",2177,21726808,10751.8824094745
"1230","Virgin Islands (U.S.)","VIR","Latin America & Caribbean","High income: nonOECD","1994",NA,107317,NA
"1231","Vietnam","VNM","East Asia & Pacific","Lower middle income","1994",5000,70824500,1353.23689636922
"1232","Vanuatu","VUT","East Asia & Pacific","Lower middle income","1994",NA,164209,1890.23822286834
"1233","West Bank and Gaza","PSE","Middle East & North Africa","Lower middle income","1994",1142905,2366298,1944.33734809278
"1234","World","WLD","","","1994",18325596,5620976559,6167.54001719606
"1235","Samoa","WSM","East Asia & Pacific","Lower middle income","1994",NA,168786,2487.2334993751
"1236","Yemen, Rep.","YEM","Middle East & North Africa","Lower middle income","1994",48306,14633091,2528.06488625431
"1237","South Africa","ZAF","Sub-Saharan Africa","Upper middle income","1994",91894,38283223,6887.38636687275
"1238","Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","1994",1724365,40804011,528.757781098244
"1239","Zambia","ZMB","Sub-Saharan Africa","Lower middle income","1994",141126,9018229,1433.23000684193
"1240","Zimbabwe","ZWE","Sub-Saharan Africa","Low income","1994",2199,11476807,1746.87530527332
"1241","Aruba","ABW","Latin America & Caribbean","High income: nonOECD","1995",NA,80326,NA
"1242","Andorra","AND","Europe & Central Asia","High income: nonOECD","1995",NA,63854,NA
"1243","Afghanistan","AFG","South Asia","Low income","1995",19605,16772522,NA
"1244","Angola","AGO","Sub-Saharan Africa","Upper middle income","1995",10884,13042666,NA
"1245","Albania","ALB","Europe & Central Asia","Upper middle income","1995",4720,3187784,2809.01793287989
"1246","Arab World","ARB","","","1995",4337009,252465890,7318.17077136659
"1247","United Arab Emirates","ARE","Middle East & North Africa","High income: nonOECD","1995",407,2350192,77467.2448447408
"1248","Argentina","ARG","Latin America & Caribbean","High income: nonOECD","1995",10314,34994818,NA
"1249","Armenia","ARM","Europe & Central Asia","Lower middle income","1995",218950,3223173,1581.73378977636
"1250","American Samoa","ASM","East Asia & Pacific","Upper middle income","1995",NA,52874,NA
"1251","Antigua and Barbuda","ATG","Latin America & Caribbean","High income: nonOECD","1995",NA,68349,12516.6004050914
"1252","Australia","AUS","East Asia & Pacific","High income: OECD","1995",62145,18072000,20981.0293792794
"1253","Austria","AUT","Europe & Central Asia","High income: OECD","1995",34385,7948278,23705.5420437344
"1254","Azerbaijan","AZE","Europe & Central Asia","Upper middle income","1995",233682,7685000,2420.44486439699
"1255","Burundi","BDI","Sub-Saharan Africa","Low income","1995",173017,6239030,606.024361082701
"1256","Belgium","BEL","Europe & Central Asia","High income: OECD","1995",31691,10136811,22871.1590015667
"1257","Benin","BEN","Sub-Saharan Africa","Low income","1995",23843,5985658,1089.85478724423
"1258","Burkina Faso","BFA","Sub-Saharan Africa","Low income","1995",29777,10089876,633.432512681593
"1259","Bangladesh","BGD","South Asia","Lower middle income","1995",51118,118427768,1050.65449953871
"1260","Bulgaria","BGR","Europe & Central Asia","Upper middle income","1995",1320,8406067,5536.82346353062
"1261","Bahrain","BHR","Middle East & North Africa","High income: nonOECD","1995",NA,563730,31529.0220445954
"1262","Bahamas, The","BHS","Latin America & Caribbean","High income: nonOECD","1995",8,280151,16120.8374068329
"1263","Bosnia and Herzegovina","BIH","Europe & Central Asia","Upper middle income","1995",NA,3879278,1158.71799792179
"1264","Belarus","BLR","Europe & Central Asia","Upper middle income","1995",28988,10194000,3846.32104792354
"1265","Belize","BLZ","Latin America & Caribbean","Upper middle income","1995",8750,206962,4526.68046059608
"1266","Bermuda","BMU","North America","High income: nonOECD","1995",NA,59746,30621.6915800819
"1267","Bolivia","BOL","Latin America & Caribbean","Lower middle income","1995",681,7566716,2993.8101580277
"1268","Brazil","BRA","Latin America & Caribbean","Upper middle income","1995",2050,162755054,8028.89874289924
"1269","Barbados","BRB","Latin America & Caribbean","High income: nonOECD","1995",NA,264962,9053.49151039393
"1270","Brunei Darussalam","BRN","East Asia & Pacific","High income: nonOECD","1995",NA,295010,57164.3300861012
"1271","Bhutan","BTN","South Asia","Lower middle income","1995",NA,508897,2136.98824747008
"1272","Botswana","BWA","Sub-Saharan Africa","Upper middle income","1995",266,1576291,6462.09038262814
"1273","Central African Republic","CAF","Sub-Saharan Africa","Low income","1995",33856,3335840,630.902950596608
"1274","Canada","CAN","North America","High income: OECD","1995",152125,29354000,23263.154452907
"1275","Central Europe and the Baltics","CEB","","","1995",239463,109913216,7716.37191133529
"1276","Switzerland","CHE","Europe & Central Asia","High income: OECD","1995",82943,7040687,28952.764943967
"1277","Channel Islands","CHI","Europe & Central Asia","High income: nonOECD","1995",NA,144050,NA
"1278","Chile","CHL","Latin America & Caribbean","High income: OECD","1995",283,14193986,7338.52292692068
"1279","China","CHN","East Asia & Pacific","Upper middle income","1995",288309,1204855000,1859.83041754968
"1280","Cote d'Ivoire","CIV","Sub-Saharan Africa","Lower middle income","1995",297908,14404340,2133.24881076923
"1281","Cameroon","CMR","Sub-Saharan Africa","Lower middle income","1995",45781,13929575,1595.12267659342
"1282","Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","1995",19404,2721277,3436.54923197916
"1283","Colombia","COL","Latin America & Caribbean","Upper middle income","1995",218,37441980,6155.68836805799
"1284","Comoros","COM","Sub-Saharan Africa","Low income","1995",NA,479574,1003.28179696261
"1285","Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","1995",NA,389156,1766.68925739571
"1286","Costa Rica","CRI","Latin America & Caribbean","Upper middle income","1995",24226,3510925,6135.62373226962
"1287","Caribbean small states","CSS","","","1995",8781,6197620,7118.82651065348
"1288","Cuba","CUB","Latin America & Caribbean","Upper middle income","1995",1829,10906048,6719.77994562436
"1289","Curacao","CUW","Latin America & Caribbean","High income: nonOECD","1995",NA,145139,NA
"1290","Cayman Islands","CYM","Latin America & Caribbean","High income: nonOECD","1995",NA,31672,NA
"1291","Cyprus","CYP","Europe & Central Asia","High income: nonOECD","1995",55,855389,16530.1099431387
"1292","Czech Republic","CZE","Europe & Central Asia","High income: OECD","1995",2655,10327253,13805.6323362819
"1293","Germany","DEU","Europe & Central Asia","High income: OECD","1995",1267900,81678051,23093.6007976579
"1294","Djibouti","DJI","Middle East & North Africa","Lower middle income","1995",27310,661076,1725.64709532671
"1295","Dominica","DMA","Latin America & Caribbean","Upper middle income","1995",NA,71367,5259.8204498043
"1296","Denmark","DNK","Europe & Central Asia","High income: OECD","1995",64844,5233373,23351.6353620033
"1297","Dominican Republic","DOM","Latin America & Caribbean","Upper middle income","1995",985,7892420,4560.33903413276
"1298","Algeria","DZA","Middle East & North Africa","Upper middle income","1995",192489,28904300,6811.84096173467
"1299","East Asia & Pacific (developing only)","EAP","","","1995",446979,1715417437,2396.84988145547
"1300","East Asia & Pacific (all income levels)","EAS","","","1995",519923,1939948999,4462.53981754939
"1301","Europe & Central Asia (developing only)","ECA","","","1995",570574,243056269,4016.49254059429
"1302","Europe & Central Asia (all income levels)","ECS","","","1995",2959592,856033287,12438.1214787749
"1303","Ecuador","ECU","Latin America & Caribbean","Upper middle income","1995",202,11440576,5633.17589219181
"1304","Egypt, Arab Rep.","EGY","Middle East & North Africa","Lower middle income","1995",5407,62434527,4681.09822876561
"1305","Euro area","EMU","","","1995",1690426,316837436,20209.7930803808
"1306","Eritrea","ERI","Sub-Saharan Africa","Low income","1995",1083,3164095,1129.39873575837
"1307","Spain","ESP","Europe & Central Asia","High income: OECD","1995",5852,39387017,16417.6213118084
"1308","Estonia","EST","Europe & Central Asia","High income: OECD","1995",NA,1436634,6352.24389677106
"1309","Ethiopia","ETH","Sub-Saharan Africa","Low income","1995",393479,57237226,419.646161532685
"1310","European Union","EUU","","","1995",2260201,483927331,17935.3939809124
"1311","Fragile and conflict affected situations","FCS","","","1995",4908717,297399140,1687.64124682419
"1312","Finland","FIN","Europe & Central Asia","High income: OECD","1995",10191,5107790,19284.3184350073
"1313","Fiji","FJI","East Asia & Pacific","Upper middle income","1995",9,775498,4855.9896132851
"1314","France","FRA","Europe & Central Asia","High income: OECD","1995",155245,59541900,20685.7857268964
"1315","Faroe Islands","FRO","Europe & Central Asia","High income: nonOECD","1995",NA,44099,NA
"1316","Micronesia, Fed. Sts.","FSM","East Asia & Pacific","Lower middle income","1995",NA,107556,2322.07449401081
"1317","Gabon","GAB","Sub-Saharan Africa","Upper middle income","1995",791,1086449,14267.7758024149
"1318","United Kingdom","GBR","Europe & Central Asia","High income: OECD","1995",90909,58019030,21081.7662421271
"1319","Georgia","GEO","Europe & Central Asia","Lower middle income","1995",100,4734000,1675.58723882619
"1320","Ghana","GHA","Sub-Saharan Africa","Lower middle income","1995",83200,16760991,1506.41530841452
"1321","Guinea","GIN","Sub-Saharan Africa","Low income","1995",672298,7863033,762.210614177916
"1322","Gambia, The","GMB","Sub-Saharan Africa","Low income","1995",6599,1065746,1055.54805209641
"1323","Guinea-Bissau","GNB","Sub-Saharan Africa","Low income","1995",15350,1180877,1148.49730906315
"1324","Equatorial Guinea","GNQ","Sub-Saharan Africa","High income: nonOECD","1995",NA,448332,1315.42552752817
"1325","Greece","GRC","Europe & Central Asia","High income: OECD","1995",4428,10562153,15353.0604104553
"1326","Grenada","GRD","Latin America & Caribbean","Upper middle income","1995",NA,100253,5484.79012276394
"1327","Greenland","GRL","Europe & Central Asia","High income: nonOECD","1995",NA,55800,NA
"1328","Guatemala","GTM","Latin America & Caribbean","Lower middle income","1995",1496,10357354,4101.74032180481
"1329","Guam","GUM","East Asia & Pacific","High income: nonOECD","1995",NA,145562,NA
"1330","Guyana","GUY","Latin America & Caribbean","Lower middle income","1995",NA,726695,2981.57309603113
"1331","High income","HIC","","","1995",3267029,1246346637,19583.9235200695
"1332","Hong Kong SAR, China","HKG","East Asia & Pacific","High income: nonOECD","1995",1481,6156100,23592.435811133
"1333","Honduras","HND","Latin America & Caribbean","Lower middle income","1995",63,5591136,2438.69165326291
"1334","Heavily indebted poor countries (HIPC)","HPC","","","1995",5405334,412815898,983.476253289316
"1335","Croatia","HRV","Europe & Central Asia","High income: nonOECD","1995",198647,4669000,8108.96941507435
"1336","Haiti","HTI","Latin America & Caribbean","Low income","1995",NA,7819806,NA
"1337","Hungary","HUN","Europe & Central Asia","High income: OECD","1995",11394,10328965,9111.03902582532
"1338","Indonesia","IDN","East Asia & Pacific","Lower middle income","1995",19,196957845,4391.08878463901
"1339","Isle of Man","IMN","Europe & Central Asia","High income: nonOECD","1995",NA,72181,NA
"1340","India","IND","South Asia","Lower middle income","1995",227480,960874982,1500.68134147504
"1341","Not classified","INX",NA,NA,"1995",NA,NA,NA
"1342","Ireland","IRL","Europe & Central Asia","High income: OECD","1995",400,3608841,18438.6850046072
"1343","Iran, Islamic Rep.","IRN","Middle East & North Africa","Upper middle income","1995",2071988,60318632,7976.63448526529
"1344","Iraq","IRQ","Middle East & North Africa","Upper middle income","1995",116722,20217759,4781.22450588793
"1345","Iceland","ISL","Europe & Central Asia","High income: OECD","1995",197,267468,23745.8718281088
"1346","Israel","ISR","Middle East & North Africa","High income: OECD","1995",NA,5545000,19658.0832776847
"1347","Italy","ITA","Europe & Central Asia","High income: OECD","1995",74302,56844303,21951.3454023464
"1348","Jamaica","JAM","Latin America & Caribbean","Upper middle income","1995",23,2480000,6298.71009188061
"1349","Jordan","JOR","Middle East & North Africa","Upper middle income","1995",1288895,4195000,5480.20696777121
"1350","Japan","JPN","East Asia & Pacific","High income: OECD","1995",5435,125439000,22921.5410255259
"1351","Kazakhstan","KAZ","Europe & Central Asia","Upper middle income","1995",15561,15815626,5890.10639438634
